State,Substate Region,12-17 Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate
Utah,"Central, Four Corners, and San Juan",*,*,5.50%,7.72%
Utah,Southwest,9.84%,*,6.30%,9.31%
Utah,Davis County,9.61%,*,5.12%,7.89%
Utah,Salt Lake County,10.37%,26.91%,8.63%,11.60%
Utah,Utah County,7.69%,17.94%,4.86%,8.16%
Utah,"Weber, Morgan",9.70%,*,5.91%,8.27%
Vermont,Vermont,16.16%,47.91%,17.04%,21.63%
Vermont,Champlain Valley,15.86%,53.98%,16.93%,23.38%
Vermont,Rural Northeast,16.67%,*,19.12%,22.55%
Vermont,Rural Southeast,16.81%,*,16.23%,19.34%
Vermont,Rural Southwest,15.24%,*,15.24%,18.75%
Virginia,Virginia,10.78%,30.66%,8.28%,11.45%
Virginia,Region 1,10.47%,30.29%,7.51%,11.08%
Virginia,Region 2,9.09%,25.05%,6.71%,8.86%
Virginia,Region 3,10.28%,28.44%,7.86%,10.88%
Virginia,Region 4,11.76%,32.62%,10.01%,13.26%
Virginia,Region 5,12.96%,36.48%,9.90%,14.06%
Washington,Washington,14.46%,36.20%,16.30%,19.04%
Washington,Region 1,14.14%,32.58%,14.52%,17.40%
Washington,Greater Columbia and North Central,12.63%,27.82%,12.07%,14.77%
Washington,Spokane,16.72%,*,17.95%,21.23%
Washington,Region 2,13.76%,36.89%,16.57%,19.19%
Washington,King,12.87%,37.77%,16.97%,19.56%
Washington,North Sound,15.17%,*,15.84%,18.52%
Washington,Region 3,15.60%,38.10%,17.07%,19.91%
Washington,Pierce,15.75%,37.15%,19.32%,21.91%
Washington,Salish,*,*,15.17%,18.20%
Washington,SW WA and Great Rivers,15.44%,*,15.77%,18.79%
Washington,Thurston-Mason,*,*,*,19.39%
West Virginia,West Virginia,11.53%,29.15%,8.57%,11.23%
West Virginia,Region I,11.20%,*,7.58%,10.02%
West Virginia,Region II,11.13%,*,7.64%,9.81%
West Virginia,Region III,12.54%,*,8.88%,10.94%
West Virginia,Region IV,11.91%,35.73%,9.82%,14.17%
West Virginia,Region V,11.83%,28.70%,8.98%,11.31%
West Virginia,Region VI,10.58%,23.65%,7.46%,9.28%
Wisconsin,Wisconsin,14.15%,30.83%,9.03%,12.13%
Wisconsin,Milwaukee,14.56%,34.18%,12.62%,16.22%
Wisconsin,Northeastern,12.50%,23.62%,6.62%,8.85%
Wisconsin,Northern,12.74%,*,7.13%,9.22%
Wisconsin,Southeastern,14.57%,31.40%,8.01%,11.14%
Wisconsin,Southern,14.77%,33.18%,10.28%,13.53%
Wisconsin,Western,15.55%,*,9.80%,13.81%
Wyoming,Wyoming,13.09%,27.83%,8.11%,10.94%
Wyoming,Judicial District 1 (Laramie),15.72%,*,9.18%,12.04%
Wyoming,Judicial District 2,12.69%,32.68%,10.23%,16.27%
Wyoming,Judicial District 3,11.01%,*,6.59%,8.71%
Wyoming,Judicial District 4,13.65%,*,6.95%,9.21%
Wyoming,Judicial District 5,11.62%,*,5.50%,7.43%
Wyoming,Judicial District 6,12.04%,*,6.80%,9.03%
Wyoming,Judicial District 7 (Natrona),12.80%,*,8.09%,10.70%
Wyoming,Judicial District 8,13.39%,*,6.81%,9.39%
Wyoming,Judicial District 9,14.60%,*,11.28%,13.94%
